seed,status,score,bucket,band,reason,elapsed_ms,expanded_nodes,unique_states
1,solved,97102.817000,Hard,Medium,,93.713,107,202
2,solved,66318.993000,Medium,Easy,,586.160,233,340
3,solved,67036.286000,Medium,Easy,,704.318,451,578
4,solved,76083.087000,Hard,Easy,,48.425,33,117
5,solved,64723.432000,Easy,Easy,,268.801,105,182
6,solved,67341.787000,Hard,Easy,,983.677,459,624
7,unknown,,unknown,,policy_space_exhausted,13.926,45,45
8,unknown,,unknown,,limits_reached,5004.118,1597,2579
9,solved,65839.136000,Easy,Easy,,45.051,28,100
10,unknown,,unknown,,limits_reached,5009.391,1137,2455
11,solved,65469.050000,Easy,Easy,,89.273,47,124
12,solved,66905.497000,Medium,Easy,,273.490,158,247
13,solved,66290.252000,Medium,Easy,,45.953,25,123
14,solved,67135.246000,Medium,Easy,,81.380,48,184
15,solved,73685.477000,Hard,Easy,,60.242,37,139
16,solved,67065.654000,Medium,Easy,,255.001,208,401
17,solved,68247.641000,Hard,Easy,,1308.764,708,904
18,solved,64474.714000,Easy,Easy,,262.228,99,168
19,solved,154977.156000,Hard,Medium,,175.530,227,292
20,solved,66593.575000,Medium,Easy,,59.620,39,138
21,unknown,,unknown,,policy_space_exhausted,39.055,86,86
22,solved,65264.271000,Easy,Easy,,207.180,89,175
23,solved,65485.977000,Easy,Easy,,64.931,43,136
24,solved,65094.816000,Easy,Easy,,103.227,54,129
25,solved,67537.734000,Hard,Easy,,75.074,52,149
26,solved,66200.651000,Medium,Easy,,208.548,149,279
27,solved,67731.269000,Hard,Easy,,1612.971,906,1117
28,unknown,,unknown,,limits_reached,5004.511,1295,1833
29,unknown,,unknown,,limits_reached,5005.922,943,2387
30,solved,65777.326000,Easy,Easy,,476.126,287,491
31,solved,64149.334000,Easy,Easy,,457.101,251,310
32,solved,65707.198000,Easy,Easy,,537.444,214,361
33,unknown,,unknown,,limits_reached,5007.510,1585,2087
34,solved,64856.862000,Easy,Easy,,1995.548,666,782
35,solved,78118.562000,Hard,Easy,,210.065,139,337
36,solved,65968.101000,Medium,Easy,,498.202,176,259
37,solved,89334.223000,Hard,Medium,,54.158,47,106
38,solved,126550.833000,Hard,Medium,,71.476,111,176
39,solved,68785.130000,Hard,Easy,,79.366,72,184
40,solved,67319.513000,Medium,Easy,,128.040,117,210
41,solved,66448.102000,Medium,Easy,,46.004,31,105
42,unknown,,unknown,,limits_reached,5002.966,1501,2686
43,solved,65793.043000,Easy,Easy,,83.473,59,119
44,solved,69916.064000,Hard,Easy,,178.661,107,389
45,solved,66173.207000,Medium,Easy,,2164.465,855,943
46,unknown,,unknown,,limits_reached,5006.011,1500,2100
47,solved,65661.516000,Easy,Easy,,135.334,78,222
48,solved,75694.122000,Hard,Easy,,52.056,31,108
49,solved,65225.450000,Easy,Easy,,155.095,97,191
50,solved,67071.615000,Medium,Easy,,109.370,75,233
